@relation MouseFeatures


@attribute Type {Left, Right, Double}
@attribute length real
@attribute speed real
@attribute accel real
@attribute jerk real
@attribute int1Len real
@attribute int2Len real
@attribute int3Len real
@attribute File {53,54,55,1,3,4,2,5,7,10,12,13,15,16,17,18,19,20,21,22,23,24,25,27,29,30,31,32,37,38,40,41,42,43,44,48,49,51,9,}
@data 
Double,374,0.2150326953,0.0002223709,0.0000002300,218,78,78,53
Left,94,0.2275790438,0.0000900590,0.0000000356,?,?,?,53
Left,63,0.3395391768,0.0003751814,0.0000004146,?,?,?,53
Left,78,0.2586497460,0.0000326372,0.0000000041,?,?,?,53
Left,109,0.4750170186,0.0001856986,0.0000000726,?,?,?,53
Left,78,0.3534308337,0.0001510388,0.0000000645,?,?,?,53
Left,93,0.0798378326,0.0000022625,0.0000000001,?,?,?,53
Left,78,0.2138688891,0.0000383003,0.0000000069,?,?,?,53
Double,374,0.1574060436,0.0000563573,0.0000000202,62,234,78,53
Left,78,0.0406133191,0.0000119416,0.0000000035,?,?,?,53
Left,78,0.0033602796,0.0000005215,0.0000000001,?,?,?,53
Left,78,0.1274313348,0.0000165024,0.0000000021,?,?,?,53
Left,78,0.1945213987,0.0001176778,0.0000000712,?,?,?,53
Left,78,0.5738923803,0.0002645885,0.0000001220,?,?,?,53
Left,62,0.4297762712,0.0004306375,0.0000004315,?,?,?,53
Left,78,0.4777934523,0.0001472399,0.0000000454,?,?,?,53
Left,78,0.1305144866,0.0000442722,0.0000000150,?,?,?,53
Left,62,0.5186309959,0.0004749368,0.0000004349,?,?,?,53
Left,94,0.0785434355,0.0000161380,0.0000000033,?,?,?,53
Left,94,0.0743015233,0.0000098204,0.0000000013,?,?,?,53
Left,109,0.3806448756,0.0001435313,0.0000000541,?,?,?,53
Left,94,0.8578899784,0.0006180764,0.0000004453,?,?,?,53
Left,93,0.1059600036,0.0000079347,0.0000000006,?,?,?,53
Left,78,0.4037288836,0.0000892416,0.0000000197,?,?,?,53
Left,94,0.2210898553,0.0002024632,0.0000001854,?,?,?,53
Left,63,0.8397174646,0.0004017787,0.0000001922,?,?,?,53
